alpha,camber,position_of_camber,thickness,Reynolds_number,cl,cd,ratio
17.5,0,0,0.12,1.00E+03,0.6148,0.25169,2.442687433
18,0,0,0.12,1.00E+03,0.6314,0.25829,2.444539084
18.5,0,0,0.12,1.00E+03,0.6481,0.26501,2.445568092
19,0,0,0.12,1.00E+03,0.6649,0.2718,2.446284032
19.5,0,0,0.12,1.00E+03,0.6816,0.27867,2.445903757
20,0,0,0.12,1.00E+03,0.6983,0.28564,2.444685618
20.5,0,0,0.12,1.00E+03,0.715,0.29271,2.442690718
21,0,0,0.12,1.00E+03,0.7317,0.29986,2.440138731
21.5,0,0,0.12,1.00E+03,0.7482,0.30711,2.436260623
22,0,0,0.12,1.00E+03,0.7647,0.31445,2.431865161
22.5,0,0,0.12,1.00E+03,0.7811,0.3219,2.426529978
23,0,0,0.12,1.00E+03,0.7974,0.32941,2.420691539
23.5,0,0,0.12,1.00E+03,0.8135,0.33702,2.413803335
24,0,0,0.12,1.00E+03,0.8294,0.3447,2.406150276
24.5,0,0,0.12,1.00E+03,0.8452,0.35248,2.397866546
25,0,0,0.12,1.00E+03,0.8608,0.36033,2.388921267
25.5,0,0,0.12,1.00E+03,0.8762,0.36829,2.379103424
26,0,0,0.12,1.00E+03,0.8913,0.3763,2.368588892
26.5,0,0,0.12,1.00E+03,0.9063,0.38436,2.357945676
27,0,0,0.12,1.00E+03,0.9211,0.39249,2.346811384
27.5,0,0,0.12,1.00E+03,0.9356,0.40068,2.335030448
28,0,0,0.12,1.00E+03,0.9499,0.40893,2.322891448
28.5,0,0,0.12,1.00E+03,0.9639,0.41725,2.310125824
29,0,0,0.12,1.00E+03,0.9776,0.42565,2.296722659
29.5,0,0,0.12,1.00E+03,0.9911,0.4341,2.28311449
30,0,0,0.12,1.00E+03,1.0042,0.44261,2.268814532
30.5,0,0,0.12,1.00E+03,1.0171,0.45118,2.254310918
31,0,0,0.12,1.00E+03,1.0296,0.45981,2.239185751
31.5,0,0,0.12,1.00E+03,1.0419,0.46851,2.223858616
32,0,0,0.12,1.00E+03,1.0538,0.47726,2.208020785
32.5,0,0,0.12,1.00E+03,1.0653,0.48606,2.191704728
33,0,0,0.12,1.00E+03,1.0765,0.49491,2.175142955
33.5,0,0,0.12,1.00E+03,1.0874,0.50381,2.158353347
34,0,0,0.12,1.00E+03,1.098,0.51275,2.141394442
34.5,0,0,0.12,1.00E+03,1.1081,0.52174,2.123854794
35,0,0,0.12,1.00E+03,1.118,0.53077,2.106373759
35.5,0,0,0.12,1.00E+03,1.1274,0.53983,2.088435248
36,0,0,0.12,1.00E+03,1.1365,0.54892,2.070429206
36.5,0,0,0.12,1.00E+03,1.1452,0.55805,2.052145865
37,0,0,0.12,1.00E+03,1.1536,0.56721,2.033814637
37.5,0,0,0.12,1.00E+03,1.1615,0.57639,2.015128646
38,0,0,0.12,1.00E+03,1.1691,0.58559,1.996448027
38.5,0,0,0.12,1.00E+03,1.1763,0.59481,1.977606294
39,0,0,0.12,1.00E+03,1.1831,0.60405,1.958612698
39.5,0,0,0.12,1.00E+03,1.1896,0.6133,1.939670634
40,0,0,0.12,1.00E+03,1.1956,0.62257,1.920426619
40.5,0,0,0.12,1.00E+03,1.2013,0.63183,1.901302566
41,0,0,0.12,1.00E+03,1.2065,0.64111,1.881892343
41.5,0,0,0.12,1.00E+03,1.2114,0.65038,1.862603401
42,0,0,0.12,1.00E+03,1.2158,0.65966,1.843070673
42.5,0,0,0.12,1.00E+03,1.2199,0.66893,1.823658679
43,0,0,0.12,1.00E+03,1.2235,0.67819,1.804066707
43.5,0,0,0.12,1.00E+03,1.2268,0.68744,1.78459211
44,0,0,0.12,1.00E+03,1.2296,0.69668,1.764942298
44.5,0,0,0.12,1.00E+03,1.2321,0.7059,1.745431364
45,0,0,0.12,1.00E+03,1.2342,0.7151,1.72591246
45.5,0,0,0.12,1.00E+03,1.2358,0.72428,1.706246203
46,0,0,0.12,1.00E+03,1.2371,0.73344,1.686709206
46.5,0,0,0.12,1.00E+03,1.2379,0.74257,1.667048224
47,0,0,0.12,1.00E+03,1.2383,0.75168,1.647376543
47.5,0,0,0.12,1.00E+03,1.2384,0.76074,1.627888635
48,0,0,0.12,1.00E+03,1.238,0.76978,1.608251708
48.5,0,0,0.12,1.00E+03,1.2373,0.77878,1.588767046
49,0,0,0.12,1.00E+03,1.2361,0.78773,1.56919249
49.5,0,0,0.12,1.00E+03,1.2346,0.79665,1.549739534
50,0,0,0.12,1.00E+03,1.2327,0.80552,1.530315821
50.5,0,0,0.12,1.00E+03,1.2303,0.81435,1.510775465
51,0,0,0.12,1.00E+03,1.2276,0.82312,1.491398581
51.5,0,0,0.12,1.00E+03,1.2245,0.83185,1.472020196
52,0,0,0.12,1.00E+03,1.221,0.84052,1.452672155
52.5,0,0,0.12,1.00E+03,1.2171,0.84914,1.433332548
53,0,0,0.12,1.00E+03,1.2129,0.8577,1.414130815
53.5,0,0,0.12,1.00E+03,1.2082,0.86621,1.394811882
54,0,0,0.12,1.00E+03,1.2032,0.87465,1.375635969
54.5,0,0,0.12,1.00E+03,1.1978,0.88303,1.356465805
55,0,0,0.12,1.00E+03,1.1921,0.89134,1.337424552
55.5,0,0,0.12,1.00E+03,1.186,0.8996,1.318363717
56,0,0,0.12,1.00E+03,1.1794,0.90784,1.2991276
56.5,0,0,0.12,1.00E+03,1.1726,0.916,1.280131004
57,0,0,0.12,1.00E+03,1.1653,0.9241,1.261010713
57.5,0,0,0.12,1.00E+03,1.1577,0.93212,1.242007467
58,0,0,0.12,1.00E+03,1.1498,0.94008,1.223087397
58.5,0,0,0.12,1.00E+03,1.1415,0.94796,1.204164733
59,0,0,0.12,1.00E+03,1.1329,0.95576,1.185339416
59.5,0,0,0.12,1.00E+03,1.1239,0.96349,1.166488495
60,0,0,0.12,1.00E+03,1.1147,0.97114,1.147826266
60.5,0,0,0.12,1.00E+03,1.105,0.97872,1.129025666
61,0,0,0.12,1.00E+03,1.0951,0.98622,1.11040133
61.5,0,0,0.12,1.00E+03,1.0848,0.99364,1.091743489
62,0,0,0.12,1.00E+03,1.0743,1.00097,1.073258939
62.5,0,0,0.12,1.00E+03,1.0634,1.00823,1.054719657
63,0,0,0.12,1.00E+03,1.0522,1.01541,1.03623167
63.5,0,0,0.12,1.00E+03,1.0407,1.02251,1.017789557
64,0,0,0.12,1.00E+03,1.0289,1.02953,0.99938807
64.5,0,0,0.12,1.00E+03,1.0168,1.03647,0.981022123
65,0,0,0.12,1.00E+03,1.0045,1.04333,0.962782629
65.5,0,0,0.12,1.00E+03,0.9918,1.05011,0.944472484
66,0,0,0.12,1.00E+03,0.9789,1.05681,0.926278139
66.5,0,0,0.12,1.00E+03,0.9657,1.06344,0.908090724
67,0,0,0.12,1.00E+03,0.9522,1.06999,0.889914859
67.5,0,0,0.12,1.00E+03,0.9385,1.07645,0.871847276
68,0,0,0.12,1.00E+03,0.9245,1.08284,0.853773411
68.5,0,0,0.12,1.00E+03,0.9103,1.08916,0.835781703
69,0,0,0.12,1.00E+03,0.8958,1.0954,0.817783458
69.5,0,0,0.12,1.00E+03,0.8811,1.10156,0.799865645
70,0,0,0.12,1.00E+03,0.8662,1.10765,0.78201598
70.5,0,0,0.12,1.00E+03,0.851,1.11367,0.764140185
71,0,0,0.12,1.00E+03,0.8356,1.11961,0.746331312
71.5,0,0,0.12,1.00E+03,0.82,1.12549,0.728571556
72,0,0,0.12,1.00E+03,0.8041,1.13129,0.710781497
72.5,0,0,0.12,1.00E+03,0.7881,1.13702,0.693127649
73,0,0,0.12,1.00E+03,0.7719,1.14269,0.675511294
73.5,0,0,0.12,1.00E+03,0.7554,1.1483,0.657842027
74,0,0,0.12,1.00E+03,0.7388,1.15383,0.640302298
74.5,0,0,0.12,1.00E+03,0.722,1.15931,0.622784242
75,0,0,0.12,1.00E+03,0.705,1.16473,0.605290497
75.5,0,0,0.12,1.00E+03,0.6879,1.17008,0.587908519
76,0,0,0.12,1.00E+03,0.6706,1.17538,0.57053889
76.5,0,0,0.12,1.00E+03,0.6531,1.18062,0.55318392
77,0,0,0.12,1.00E+03,0.6354,1.1858,0.535840783
77.5,0,0,0.12,1.00E+03,0.6176,1.19094,0.51858196
78,0,0,0.12,1.00E+03,0.5997,1.19602,0.50141302
78.5,0,0,0.12,1.00E+03,0.5816,1.20105,0.484242954
79,0,0,0.12,1.00E+03,0.5634,1.20603,0.467152558
79.5,0,0,0.12,1.00E+03,0.5451,1.21096,0.450138733
80,0,0,0.12,1.00E+03,0.5266,1.21584,0.433116199
80.5,0,0,0.12,1.00E+03,0.5081,1.22067,0.416246815
81,0,0,0.12,1.00E+03,0.4894,1.22546,0.39936024
81.5,0,0,0.12,1.00E+03,0.4706,1.23019,0.382542534
82,0,0,0.12,1.00E+03,0.4517,1.23488,0.36578453
82.5,0,0,0.12,1.00E+03,0.4327,1.23952,0.349086743
83,0,0,0.12,1.00E+03,0.4136,1.2441,0.33244916
83.5,0,0,0.12,1.00E+03,0.3944,1.24862,0.315868719
84,0,0,0.12,1.00E+03,0.3752,1.25308,0.299422224
84.5,0,0,0.12,1.00E+03,0.3559,1.25748,0.28302637
-5,0,0,0.1,3.40E+03,-0.5863,0.01155,-50.76190476
-4,0,0,0.1,3.40E+03,-0.4974,0.0097,-51.27835052
-3,0,0,0.1,3.40E+03,-0.4039,0.00849,-47.57361602
-1,0,0,0.1,3.40E+03,-0.1284,0.00705,-18.21276596
0,0,0,0.1,3.40E+03,0,0.00684,0
1,0,0,0.1,3.40E+03,0.1284,0.00705,18.21276596
2,0,0,0.1,3.40E+03,0.2816,0.00766,36.76240209
3,0,0,0.1,3.40E+03,0.4038,0.00849,47.56183746
4,0,0,0.1,3.40E+03,0.4973,0.0097,51.26804124
5,0,0,0.1,3.40E+03,0.5863,0.01155,50.76190476
6,0,0,0.1,3.40E+03,0.6734,0.01375,48.97454545
7,0,0,0.1,3.40E+03,0.7618,0.01594,47.79171895
8,0,0,0.1,3.40E+03,0.8472,0.01936,43.76033058
9,0,0,0.1,3.40E+03,0.9261,0.02513,36.85236769
10,0,0,0.1,3.40E+03,0.9992,0.03036,32.91172596
11,0,0,0.1,3.40E+03,1.0404,0.03849,27.03039751
12,0,0,0.1,3.40E+03,1.0017,0.05144,19.47317263
13,0,0,0.1,3.40E+03,0.707,0.13903,5.085233403
14,0,0,0.1,3.40E+03,0.7035,0.16128,4.361979167
15,0,0,0.1,3.40E+03,0.7212,0.1767,4.081494058
16,0,0,0.1,3.40E+03,0.7373,0.19517,3.777732233
17,0,0,0.1,3.40E+03,0.7544,0.21231,3.553294711
18,0,0,0.1,3.40E+03,0.7817,0.22685,3.445889354
19,0,0,0.1,3.40E+03,0.8127,0.24002,3.385967836
20,0,0,0.1,3.40E+03,0.8401,0.25778,3.258980526
-5,0,0,0.08,1.00E+04,-0.5462,0.01991,-27.43345053
-4,0,0,0.08,1.00E+04,-0.4666,0.01376,-33.90988372
-3,0,0,0.08,1.00E+04,-0.3888,0.01188,-32.72727273
-2,0,0,0.08,1.00E+04,-0.199,0.01262,-15.76862124
-1,0,0,0.08,1.00E+04,-0.058,0.0116,-5
0,0,0,0.08,1.00E+04,0,0.01124,0
1,0,0,0.08,1.00E+04,0.058,0.0116,5
2,0,0,0.08,1.00E+04,0.199,0.01262,15.76862124
3,0,0,0.08,1.00E+04,0.3887,0.01188,32.71885522
4,0,0,0.08,1.00E+04,0.4666,0.01376,33.90988372
5,0,0,0.08,1.00E+04,0.5462,0.01991,27.43345053
6,0,0,0.08,1.00E+04,0.6431,0.02671,24.07712467
7,0,0,0.08,1.00E+04,0.7234,0.03996,18.1031031
9,0,0,0.08,1.00E+04,0.6974,0.09817,7.10400326
10,0,0,0.08,1.00E+04,0.6789,0.11565,5.870298314
11,0,0,0.08,1.00E+04,0.6797,0.13166,5.162539875
12,0,0,0.08,1.00E+04,0.6905,0.14859,4.647015277
14,0,0,0.08,1.00E+04,0.7143,0.17958,3.977614434
-5,0,0,0.12,3.00E+04,-0.5935,0.03818,-15.54478785
-4,0,0,0.12,3.00E+04,-0.3775,0.03968,-9.513608871
-3,0,0,0.12,3.00E+04,-0.0553,0.03201,-1.72758513
-2,0,0,0.12,3.00E+04,-0.0172,0.02803,-0.613628255
-1,0,0,0.12,3.00E+04,0.0056,0.02574,0.217560218
0,0,0,0.12,3.00E+04,0,0.02499,0
1,0,0,0.12,3.00E+04,-0.0055,0.02573,-0.213758259
2,0,0,0.12,3.00E+04,0.0173,0.02802,0.617416131
3,0,0,0.12,3.00E+04,0.0556,0.03199,1.738043138
4,0,0,0.12,3.00E+04,0.3781,0.03965,9.53593947
5,0,0,0.12,3.00E+04,0.5934,0.03818,15.54216867
6,0,0,0.12,3.00E+04,0.6747,0.04124,16.36032978
7,0,0,0.12,3.00E+04,0.7246,0.05075,14.27783251
8,0,0,0.12,3.00E+04,0.7354,0.06624,11.10205314
9,0,0,0.12,3.00E+04,0.6658,0.09132,7.290845379
10,0,0,0.12,3.00E+04,0.5036,0.12308,4.091647709
11,0,0,0.12,3.00E+04,0.5475,0.1394,3.927546628
12,0,0,0.12,3.00E+04,0.5604,0.15197,3.687569915
13,0,0,0.12,3.00E+04,0.5912,0.16694,3.541392117
14,0,0,0.12,3.00E+04,0.6182,0.18075,3.420193638
15,0,0,0.12,3.00E+04,0.648,0.19607,3.304942113
16,0,0,0.12,3.00E+04,0.6695,0.2077,3.223399133
17,0,0,0.12,3.00E+04,0.6979,0.22136,3.152782797
18,0,0,0.12,3.00E+04,0.7273,0.23503,3.094498575
19,0,0,0.12,3.00E+04,0.7583,0.2485,3.051509054
20,0,0,0.12,3.00E+04,0.7885,0.26235,3.005526968
-5,0,0,0.1,3.00E+04,-0.5909,0.03225,-18.32248062
-4,0,0,0.1,3.00E+04,-0.4342,0.0338,-12.84615385
-3,0,0,0.1,3.00E+04,-0.1294,0.02722,-4.753857458
-2,0,0,0.1,3.00E+04,-0.0826,0.02386,-3.461860855
-1,0,0,0.1,3.00E+04,-0.0376,0.0222,-1.693693694
0,0,0,0.1,3.00E+04,0,0.02171,0
1,0,0,0.1,3.00E+04,0.0377,0.0222,1.698198198
2,0,0,0.1,3.00E+04,0.0827,0.02386,3.46605197
3,0,0,0.1,3.00E+04,0.1297,0.0272,4.768382353
4,0,0,0.1,3.00E+04,0.4344,0.03379,12.85587452
5,0,0,0.1,3.00E+04,0.5909,0.03225,18.32248062
6,0,0,0.1,3.00E+04,0.6664,0.03993,16.68920611
7,0,0,0.1,3.00E+04,0.7315,0.05275,13.86729858
8,0,0,0.1,3.00E+04,0.7134,0.0738,9.666666667
9,0,0,0.1,3.00E+04,0.6378,0.1025,6.222439024
10,0,0,0.1,3.00E+04,0.5691,0.12764,4.458633657
11,0,0,0.1,3.00E+04,0.6209,0.14806,4.193570174
12,0,0,0.1,3.00E+04,0.6323,0.16025,3.945709828
13,0,0,0.1,3.00E+04,0.6547,0.17387,3.765456951
14,0,0,0.1,3.00E+04,0.6718,0.18793,3.574735274
15,0,0,0.1,3.00E+04,0.6882,0.19904,3.457596463
16,0,0,0.1,3.00E+04,0.739,0.22341,3.307819704
17,0,0,0.1,3.00E+04,0.7622,0.23739,3.210750242
18,0,0,0.1,3.00E+04,0.7931,0.25502,3.109952161
19,0,0,0.1,3.00E+04,0.806,0.25792,3.125
20,0,0,0.1,3.00E+04,0.8315,0.26876,3.093838369
-5,0,0,0.15,3.00E+04,-0.4045,0.0547,-7.39488117
-4,0,0,0.15,3.00E+04,-0.336,0.04909,-6.844571196
-3,0,0,0.15,3.00E+04,-0.1428,0.04365,-3.271477663
-2,0,0,0.15,3.00E+04,0.0707,0.03622,1.951960243
-1,0,0,0.15,3.00E+04,0.0593,0.03427,1.730376423
0,0,0,0.15,3.00E+04,0,0.0339,0
1,0,0,0.15,3.00E+04,-0.0593,0.03426,-1.730881494
2,0,0,0.15,3.00E+04,-0.0707,0.0362,-1.953038674
3,0,0,0.15,3.00E+04,0.1429,0.04363,3.27526931
4,0,0,0.15,3.00E+04,0.3363,0.04907,6.853474628
5,0,0,0.15,3.00E+04,0.4051,0.05467,7.40991403
6,0,0,0.15,3.00E+04,0.5344,0.05857,9.124124979
7,0,0,0.15,3.00E+04,0.5132,0.07031,7.299103968
8,0,0,0.15,3.00E+04,0.521,0.08324,6.259010091
9,0,0,0.15,3.00E+04,0.5157,0.0996,5.177710843
13,0,0,0.15,3.00E+04,0.5112,0.16269,3.142172229
14,0,0,0.15,3.00E+04,0.5787,0.18544,3.120685936
15,0,0,0.15,3.00E+04,0.5803,0.19236,3.016739447
16,0,0,0.15,3.00E+04,0.5981,0.20089,2.977251232
17,0,0,0.15,3.00E+04,0.6294,0.21435,2.936319104
18,0,0,0.15,3.00E+04,0.659,0.22726,2.899762387
19,0,0,0.15,3.00E+04,0.6941,0.24145,2.874715262
20,0,0,0.15,3.00E+04,0.7217,0.25305,2.852005533
-5,2,4,0.14,3.00E+04,-0.5356,0.04649,-11.52075715
-4,2,4,0.14,3.00E+04,-0.4772,0.03873,-12.32119804
-3,2,4,0.14,3.00E+04,-0.4097,0.0342,-11.97953216
-1,2,4,0.14,3.00E+04,-0.1596,0.03074,-5.191932336
0,2,4,0.14,3.00E+04,-0.125,0.03219,-3.883193538
1,2,4,0.14,3.00E+04,-0.0686,0.03521,-1.948310139
2,2,4,0.14,3.00E+04,-0.0088,0.03923,-0.224318124
3,2,4,0.14,3.00E+04,0.1248,0.04675,2.669518717
4,2,4,0.14,3.00E+04,0.2476,0.05458,4.536460242
5,2,4,0.14,3.00E+04,0.3675,0.06322,5.81303385
6,2,4,0.14,3.00E+04,0.4357,0.07166,6.080100474
8,2,4,0.14,3.00E+04,0.5205,0.09413,5.529586742
9,2,4,0.14,3.00E+04,0.4929,0.1094,4.505484461
10,2,4,0.14,3.00E+04,0.5627,0.12595,4.467645891
11,2,4,0.14,3.00E+04,0.575,0.13556,4.241664208
12,2,4,0.14,3.00E+04,0.6158,0.1502,4.099866844
13,2,4,0.14,3.00E+04,0.6417,0.16407,3.911135491
14,2,4,0.14,3.00E+04,0.6894,0.18296,3.768036729
15,2,4,0.14,3.00E+04,0.7087,0.19328,3.666701159
16,2,4,0.14,3.00E+04,0.7527,0.21294,3.534798535
17,2,4,0.14,3.00E+04,0.7663,0.22217,3.449160553
18,2,4,0.14,3.00E+04,0.7952,0.23583,3.371920451
19,2,4,0.14,3.00E+04,0.8235,0.24828,3.31681972
20,2,4,0.14,3.00E+04,0.8543,0.26109,3.272051783
-5,0,0,0.1,4.00E+04,-0.5842,0.0263,-22.21292776
-4,0,0,0.1,4.00E+04,-0.5122,0.0245,-20.90612245
-3,0,0,0.1,4.00E+04,-0.225,0.02597,-8.663842896
-2,0,0,0.1,4.00E+04,-0.0753,0.02156,-3.49257885
-1,0,0,0.1,4.00E+04,-0.0311,0.0197,-1.578680203
0,0,0,0.1,4.00E+04,0,0.01915,0
1,0,0,0.1,4.00E+04,0.0312,0.0197,1.583756345
2,0,0,0.1,4.00E+04,0.0754,0.02155,3.498839907
3,0,0,0.1,4.00E+04,0.225,0.02595,8.670520231
4,0,0,0.1,4.00E+04,0.5122,0.0245,20.90612245
5,0,0,0.1,4.00E+04,0.5842,0.0263,22.21292776
6,0,0,0.1,4.00E+04,0.6647,0.03325,19.99097744
7,0,0,0.1,4.00E+04,0.7438,0.04357,17.07137939
8,0,0,0.1,4.00E+04,0.7658,0.06196,12.35958683
9,0,0,0.1,4.00E+04,0.7353,0.08458,8.693544573
10,0,0,0.1,4.00E+04,0.5909,0.12402,4.764554104
11,0,0,0.1,4.00E+04,0.6116,0.13845,4.417479234
12,0,0,0.1,4.00E+04,0.681,0.16279,4.183303643
13,0,0,0.1,4.00E+04,0.6592,0.17031,3.870588926
14,0,0,0.1,4.00E+04,0.672,0.18202,3.691901989
15,0,0,0.1,4.00E+04,0.7119,0.20086,3.544259683
16,0,0,0.1,4.00E+04,0.7252,0.21197,3.421238855
17,0,0,0.1,4.00E+04,0.7453,0.22425,3.323522854
18,0,0,0.1,4.00E+04,0.7715,0.23809,3.240371288
19,0,0,0.1,4.00E+04,0.8012,0.2524,3.174326466
20,0,0,0.1,4.00E+04,0.8383,0.27327,3.067662019
-5,0,0,0.1,5.00E+04,-0.5788,0.02313,-25.02377864
-4,0,0,0.1,5.00E+04,-0.5113,0.02041,-25.05144537
-3,0,0,0.1,5.00E+04,-0.3782,0.02185,-17.30892449
-2,0,0,0.1,5.00E+04,-0.0695,0.02007,-3.46287992
-1,0,0,0.1,5.00E+04,-0.0253,0.01803,-1.403216861
0,0,0,0.1,5.00E+04,0,0.01741,0
1,0,0,0.1,5.00E+04,0.0253,0.01803,1.403216861
2,0,0,0.1,5.00E+04,0.0696,0.02006,3.469591226
3,0,0,0.1,5.00E+04,0.3782,0.02185,17.30892449
4,0,0,0.1,5.00E+04,0.5113,0.0204,25.06372549
5,0,0,0.1,5.00E+04,0.5788,0.02313,25.02377864
6,0,0,0.1,5.00E+04,0.6625,0.02969,22.31391041
7,0,0,0.1,5.00E+04,0.7443,0.0394,18.89086294
8,0,0,0.1,5.00E+04,0.7904,0.05327,14.83761967
9,0,0,0.1,5.00E+04,0.7326,0.07907,9.265208044
10,0,0,0.1,5.00E+04,0.6253,0.12095,5.169904919
11,0,0,0.1,5.00E+04,0.6746,0.14227,4.741688339
12,0,0,0.1,5.00E+04,0.6448,0.15179,4.247974175
13,0,0,0.1,5.00E+04,0.6638,0.16562,4.007970052
14,0,0,0.1,5.00E+04,0.7042,0.18506,3.805252351
15,0,0,0.1,5.00E+04,0.7028,0.19476,3.608543849
16,0,0,0.1,5.00E+04,0.7191,0.2077,3.462205104
17,0,0,0.1,5.00E+04,0.7447,0.22229,3.350128211
18,0,0,0.1,5.00E+04,0.7733,0.23688,3.264522121
19,0,0,0.1,5.00E+04,0.8181,0.26215,3.120732405
20,0,0,0.1,5.00E+04,0.8313,0.26354,3.154359869
-5,0,0,0.21,5.00E+04,-0.7856,0.0439,-17.8952164
-4,0,0,0.21,5.00E+04,-0.7678,0.04081,-18.81401617
-3,0,0,0.21,5.00E+04,-0.6951,0.04106,-16.92888456
-2,0,0,0.21,5.00E+04,-0.5004,0.04444,-11.26012601
-1,0,0,0.21,5.00E+04,-0.2492,0.04863,-5.124408801
0,0,0,0.21,5.00E+04,0,0.05049,0
1,0,0,0.21,5.00E+04,0.2488,0.04862,5.117235705
2,0,0,0.21,5.00E+04,0.5004,0.04443,11.26266036
3,0,0,0.21,5.00E+04,0.6952,0.04104,16.93957115
4,0,0,0.21,5.00E+04,0.7674,0.0408,18.80882353
5,0,0,0.21,5.00E+04,0.7853,0.04388,17.89653601
6,0,0,0.21,5.00E+04,0.7833,0.0482,16.25103734
7,0,0,0.21,5.00E+04,0.4823,0.06929,6.960600375
8,0,0,0.21,5.00E+04,0.3971,0.08293,4.788375739
9,0,0,0.21,5.00E+04,0.3013,0.10555,2.854571293
10,0,0,0.21,5.00E+04,0.4227,0.10713,3.945673481
12,0,0,0.21,5.00E+04,0.3572,0.14216,2.51266179
17,0,0,0.21,5.00E+04,0.506,0.20156,2.510418734
18,0,0,0.21,5.00E+04,0.533,0.21204,2.513676665
19,0,0,0.21,5.00E+04,0.5517,0.22149,2.490857375
20,0,0,0.21,5.00E+04,0.5874,0.23507,2.498830136
-5,0,0,0.18,5.00E+04,-0.7298,0.03493,-20.893215
-4,0,0,0.18,5.00E+04,-0.6755,0.03361,-20.09818506
-3,0,0,0.18,5.00E+04,-0.6198,0.03292,-18.82746051
-2,0,0,0.18,5.00E+04,-0.5623,0.03335,-16.86056972
-1,0,0,0.18,5.00E+04,-0.3953,0.03689,-10.7156411
0,0,0,0.18,5.00E+04,0,0.04127,0
1,0,0,0.18,5.00E+04,0.3953,0.03688,10.71854664
2,0,0,0.18,5.00E+04,0.5622,0.03334,16.86262747
3,0,0,0.18,5.00E+04,0.6195,0.03291,18.82406563
4,0,0,0.18,5.00E+04,0.6753,0.0336,20.09821429
5,0,0,0.18,5.00E+04,0.7296,0.03492,20.89347079
6,0,0,0.18,5.00E+04,0.7875,0.03655,21.54582763
7,0,0,0.18,5.00E+04,0.8393,0.03918,21.4216437
8,0,0,0.18,5.00E+04,0.862,0.04391,19.63106354
10,0,0,0.18,5.00E+04,0.5217,0.09507,5.4875355
11,0,0,0.18,5.00E+04,0.4892,0.11782,4.152096418
14,0,0,0.18,5.00E+04,0.4905,0.16684,2.93994246
15,0,0,0.18,5.00E+04,0.5072,0.17713,2.863433636
16,0,0,0.18,5.00E+04,0.5357,0.18999,2.819622085
17,0,0,0.18,5.00E+04,0.5712,0.20437,2.794930763
18,0,0,0.18,5.00E+04,0.6061,0.21841,2.775056087
19,0,0,0.18,5.00E+04,0.6514,0.2354,2.767204758
20,0,0,0.18,5.00E+04,0.6593,0.23987,2.748572143
-5,0,0,0.06,5.00E+04,-0.5461,0.03319,-16.45375113
-4,0,0,0.06,5.00E+04,-0.4398,0.02321,-18.948729
-3,0,0,0.06,5.00E+04,-0.2531,0.01617,-15.6524428
-2,0,0,0.06,5.00E+04,-0.1721,0.01482,-11.61268556
-1,0,0,0.06,5.00E+04,-0.0865,0.01431,-6.044723969
0,0,0,0.06,5.00E+04,0,0.01417,0
1,0,0,0.06,5.00E+04,0.0865,0.01431,6.044723969
